,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year,movie_id,primary_title,original_title,runtime_minutes,genres,averagerating,numvotes,runtime,Horror
126,32,2016-06-03,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82051601,245328374,1.8172472148148149,2016,tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,112.0,"Action,Adventure,Comedy",6.0,77234,sweet spot,False
127,33,2011-11-18,Happy Feet Two,135000000,64006466,157956466,1.1700478962962964,2011,tt1402488,Happy Feet Two,Happy Feet Two,100.0,"Adventure,Animation,Comedy",5.9,38396,sweet spot,False
128,35,2018-11-02,The Nutcracker and the Four Realms,132900000,54858851,170293899,1.281368690744921,2018,tt5523010,The Nutcracker and the Four Realms,The Nutcracker and the Four Realms,99.0,"Adventure,Family,Fantasy",5.5,18734,sweet spot,False
129,37,2014-11-26,Penguins of Madagascar,132000000,83350911,366942531,2.7798676590909093,2014,tt1911658,Penguins of Madagascar,Penguins of Madagascar,92.0,"Adventure,Animation,Comedy",6.7,72551,under,False
130,38,2013-11-22,The Hunger Games: Catching Fire,130000000,424668047,864868047,6.652831130769231,2013,tt1951264,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,146.0,"Action,Adventure,Sci-Fi",7.5,575455,over,False
131,41,2018-07-06,Ant-Man and the Wasp,130000000,216648740,623144660,4.793420461538462,2018,tt5095030,Ant-Man and the Wasp,Ant-Man and the Wasp,118.0,"Action,Adventure,Comedy",7.1,244024,over,False
132,43,2015-07-17,Ant-Man,130000000,180202163,518858449,3.9912188384615384,2015,tt0478970,Ant-Man,Ant-Man,117.0,"Action,Adventure,Comedy",7.3,501213,over,False
133,44,2015-03-27,Home,130000000,177397510,385997896,2.9692145846153846,2015,tt2075392,Home,Yurt,76.0,Drama,6.0,96,under,False
134,45,2018-12-19,Mary Poppins Returns,130000000,171958438,341528518,2.627142446153846,2018,tt5028340,Mary Poppins Returns,Mary Poppins Returns,130.0,"Comedy,Family,Fantasy",6.9,52103,over,False
135,46,2011-10-28,Puss in Boots,130000000,149260504,554987477,4.269134438461538,2011,tt0448694,Puss in Boots,Puss in Boots,90.0,"Action,Adventure,Animation",6.6,133355,under,False
