,Unnamed: 0,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year,movie_id,primary_title,original_title,runtime_minutes,genres,averagerating,numvotes
761,3639,40,2018-10-19,Can You Ever Forgive Me?,10000000,8803865,11752387,1.1752387,2018,tt4595882,Can You Ever Forgive Me?,Can You Ever Forgive Me?,106.0,"Biography,Comedy,Crime",7.2,29473
762,3644,45,2015-03-27,While We're Young,10000000,7582065,17503828,1.7503828000000001,2015,tt1791682,While We're Young,While We're Young,97.0,"Comedy,Drama,Mystery",6.3,41327
763,3647,48,2012-06-22,Seeking a Friend for the End of the World,10000000,7078738,11766959,1.1766959,2012,tt1307068,Seeking a Friend for the End of the World,Seeking a Friend for the End of the World,101.0,"Adventure,Comedy,Drama",6.7,102047
764,3649,50,2016-11-11,Shut In,10000000,6900335,11360665,1.1360665,2016,tt2582500,Shut In,Shut In,91.0,"Drama,Mystery,Thriller",4.7,11030
765,3666,67,2016-04-29,The Man Who Knew Infinity,10000000,3877922,12382122,1.2382122,2016,tt0787524,The Man Who Knew Infinity,The Man Who Knew Infinity,108.0,"Biography,Drama",7.2,43575
766,3747,48,2017-09-22,Friend Request,9900000,3759078,11310835,1.142508585858586,2017,tt2277308,Friend Request,Friend Request,91.0,Thriller,4.0,116
767,3750,51,2012-12-19,Amour,9700000,6738954,36787044,3.792478762886598,2012,tt1602620,Amour,Amour,127.0,"Drama,Romance",7.9,84960
768,3755,56,2016-12-21,Dangal,9500000,12391761,294654618,31.016275578947372,2016,tt5074352,Dangal,Dangal,161.0,"Action,Biography,Drama",8.5,123638
769,3761,62,2011-11-11,Melancholia,9400000,3030848,21817298,2.32098914893617,2011,tt1527186,Melancholia,Melancholia,135.0,"Drama,Sci-Fi",7.2,153434
770,3766,67,2011-12-31,Red Dog,9100000,0,20927794,2.2997575824175818,2011,tt0803061,Red Dog,Red Dog,92.0,"Biography,Comedy,Drama",7.4,15357
771,3770,71,2014-07-18,The Purge: Anarchy,9000000,71562550,111534881,12.392764555555555,2014,tt2975578,The Purge: Anarchy,The Purge: Anarchy,103.0,"Action,Horror,Sci-Fi",6.5,126203
772,3774,75,2016-10-21,Ouija: Origin of Evil,9000000,35144505,81831866,9.092429555555556,2016,tt4361050,Ouija: Origin of Evil,Ouija: Origin of Evil,99.0,"Drama,Horror,Mystery",6.1,47099
773,3777,78,2019-02-13,Happy Death Day 2U,9000000,28051045,64179495,7.131055,2019,tt8155288,Happy Death Day 2U,Happy Death Day 2U,100.0,"Drama,Horror,Mystery",6.3,27462
774,3779,80,2015-01-30,Black or White,9000000,21571189,21971021,2.4412245555555554,2015,tt2883434,Black or White,Black or White,121.0,Drama,6.6,10659
775,3785,86,2016-11-18,The Edge of Seventeen,9000000,14431633,19096003,2.121778111111111,2016,tt1878870,The Edge of Seventeen,The Edge of Seventeen,104.0,"Comedy,Drama",7.3,87602
776,3786,87,2016-12-02,Jackie,9000000,13960394,36588512,4.065390222222222,2016,tt1619029,Jackie,Jackie,100.0,"Biography,Drama,History",6.7,66008
777,3789,90,2011-08-12,Glee: The 3D Concert Movie,9000000,11862398,17462398,1.9402664444444444,2011,tt1922612,Glee: The 3D Concert Movie,Glee: The 3D Concert Movie,84.0,"Documentary,Music",5.4,5449
778,3791,92,2016-11-04,Loving,9000000,7710234,12898064,1.4331182222222223,2016,tt2495212,Loving,Milosc,105.0,"Drama,Romance",7.1,257
779,3802,3,2013-03-22,The Sapphires,9000000,2450867,20395040,2.2661155555555554,2013,tt1673697,The Sapphires,The Sapphires,103.0,"Biography,Comedy,Drama",7.0,12143
780,3823,24,2012-05-18,Polisse,8900000,176988,22744132,2.5555204494382022,2012,tt1661420,Polisse,Polisse,127.0,"Crime,Drama",7.3,12506
781,3829,30,2016-11-18,Manchester by the Sea,8500000,47695371,77733867,9.145160823529412,2016,tt4034228,Manchester by the Sea,Manchester by the Sea,137.0,Drama,7.8,214557
782,3833,34,2014-10-31,Nightcrawler,8500000,32381218,50334418,5.9216962352941165,2014,tt2872718,Nightcrawler,Nightcrawler,117.0,"Crime,Drama,Thriller",7.9,404476
783,3835,36,2019-01-16,Dragon Ball Super: Broly,8500000,30376755,122747755,14.440912352941178,2019,tt7961060,Dragon Ball Super: Broly,Doragon bôru chô: Burorî,100.0,"Action,Adventure,Animation",8.0,16465
784,3837,38,2013-09-27,Baggage Claim,8500000,21569509,22885836,2.6924512941176477,2013,tt1171222,Baggage Claim,Baggage Claim,96.0,Comedy,5.1,8296
785,3838,39,2016-10-07,Middle School: The Worst Years of My Life,8500000,20007149,23311293,2.7425050588235296,2016,tt4981636,Middle School: The Worst Years of My Life,Middle School: The Worst Years of My Life,92.0,"Comedy,Family",6.1,6413
786,3849,50,2017-12-31,Posledniy bogatyr,8500000,0,30700192,3.6117872941176468,2017,tt6175394,Posledniy bogatyr,Posledniy bogatyr,114.0,"Action,Adventure,Comedy",6.6,1853
787,3853,54,2013-05-31,Yeh Jawaani Hai Deewani,8300000,3827466,50827466,6.123791084337349,2013,tt2178470,Yeh Jawaani Hai Deewani,Yeh Jawaani Hai Deewani,160.0,"Comedy,Drama,Musical",7.1,33971
788,3871,72,2019-05-03,The Intruder,8000000,35095904,36005871,4.500733875,2019,tt1773741,The Intruder,Khew ar-khard,106.0,Horror,4.3,136
789,3872,73,2011-09-30,50/50,8000000,35016118,41334735,5.166841875,2011,tt1306980,50/50,50/50,100.0,"Comedy,Drama,Romance",7.7,300475
790,3874,75,2015-09-02,A Walk in the Woods,8000000,29499394,37119358,4.63991975,2015,tt1178665,A Walk in the Woods,A Walk in the Woods,104.0,"Adventure,Biography,Comedy",6.3,22033
791,3877,78,2014-01-31,That Awkward Moment,8000000,26068955,53068955,6.633619375,2014,tt1800246,That Awkward Moment,That Awkward Moment,94.0,"Comedy,Romance",6.2,92148
792,3887,88,2013-09-18,Enough Said,8000000,17550872,25621449,3.202681125,2013,tt2390361,Enough Said,Enough Said,93.0,"Comedy,Drama,Romance",7.0,55698
793,3890,91,2014-06-27,Begin Again,8000000,16170632,68838736,8.604842,2014,tt1945037,Begin Again,Begin Again,68.0,"Drama,Family",7.0,57
794,3896,97,2011-04-29,Prom,8000000,10130219,10763183,1.345397875,2011,tt1604171,Prom,Prom,104.0,"Comedy,Drama,Family",5.4,14279
795,3899,100,2015-06-12,Me and Earl and the Dying Girl,8000000,6758416,9266180,1.1582725,2015,tt2582496,Me and Earl and the Dying Girl,Me and Earl and the Dying Girl,105.0,"Comedy,Drama,Romance",7.8,112627
796,3930,31,2016-11-18,A Street Cat Named Bob,8000000,82703,17382693,2.172836625,2016,tt3606888,A Street Cat Named Bob,A Street Cat Named Bob,103.0,"Biography,Comedy,Drama",7.4,23204
797,3966,67,2011-12-21,Albert Nobbs,7500000,3014696,8539003,1.1385337333333334,2011,tt1602098,Albert Nobbs,Albert Nobbs,113.0,"Drama,Romance",6.7,22213
798,3976,77,2017-01-13,The Bye Bye Man,7400000,22395806,31187727,4.2145577027027015,2017,tt4030600,The Bye Bye Man,The Bye Bye Man,96.0,"Drama,Fantasy,Horror",4.3,17743
799,3987,88,2012-06-29,Magic Mike,7000000,113721571,170549753,24.36425042857143,2012,tt1915581,Magic Mike,Magic Mike,110.0,"Comedy,Drama",6.1,123955
800,3989,90,2018-03-16,I Can Only Imagine,7000000,83482352,85604221,12.22917442857143,2018,tt6450186,I Can Only Imagine,I Can Only Imagine,110.0,"Biography,Drama,Family",7.4,11439
801,3990,91,2019-03-15,Five Feet Apart,7000000,45729221,80504421,11.500631571428572,2019,tt6472976,Five Feet Apart,Five Feet Apart,116.0,"Drama,Romance",7.2,10645
802,3992,93,2011-05-06,Jumping the Broom,7000000,37295394,38158601,5.4512287142857145,2011,tt1640484,Jumping the Broom,Jumping the Broom,112.0,"Comedy,Drama",5.7,9089
803,4003,4,2017-04-07,Gifted,7000000,24801212,36964656,5.280665142857143,2017,tt3727750,Gifted,Gifted,,Documentary,7.0,7
804,4010,11,2015-06-19,Dope,7000000,17506470,18190831,2.598690142857143,2015,tt3850214,Dope,Dope,103.0,"Comedy,Crime,Drama",7.2,76557
805,4013,14,2014-01-17,Devil's Due,7000000,15821461,36146087,5.163726714285715,2014,tt2752758,Devil's Due,Devil's Due,89.0,"Horror,Mystery,Thriller",4.1,15502
806,4015,16,2014-11-14,Beyond the Lights,7000000,14618727,14618727,2.0883895714285714,2014,tt3125324,Beyond the Lights,Beyond the Lights,116.0,"Drama,Music,Romance",6.9,14122
807,4042,43,2012-01-13,We Need to Talk About Kevin,7000000,1738692,10765283,1.5378975714285714,2012,tt1242460,We Need to Talk About Kevin,We Need to Talk About Kevin,112.0,"Drama,Mystery,Thriller",7.5,123619
808,4062,63,2016-12-06,Oddball,7000000,0,10237229,1.4624612857142858,2016,tt3401748,Oddball,Oddball,95.0,"Adventure,Family",6.4,2124
809,4072,73,2012-09-21,House at the End of the Street,6900000,31611916,44103982,6.391881449275362,2012,tt1582507,House at the End of the Street,House at the End of the Street,101.0,"Drama,Horror,Thriller",5.6,66303
810,4083,84,2014-10-03,Annabelle,6500000,84273813,256862920,39.51737230769231,2014,tt3322940,Annabelle,Annabelle,99.0,"Horror,Mystery,Thriller",5.4,122039
811,4096,97,2011-12-02,Shame,6500000,4002293,20412841,3.1404370769230767,2011,tt1723811,Shame,Shame,101.0,Drama,7.2,171353
812,4118,19,2018-05-11,Breaking In,6000000,46840590,51411620,8.568603333333334,2018,tt7137846,Breaking In,Breaking In,88.0,"Action,Crime,Drama",5.4,10154
813,4132,33,2019-03-29,Unplanned,6000000,18107621,18107621,3.017936833333333,2019,tt9024106,Unplanned,Unplanned,106.0,"Biography,Drama",6.3,5945
814,4135,36,2019-02-08,The Prodigy,6000000,14856291,19789712,3.2982853333333333,2019,tt4504044,The Prodigy,The Prodigy,92.0,"Horror,Thriller",5.9,11456
815,4136,37,2018-11-30,The Possession of Hannah Grace,6000000,14836174,42785387,7.130897833333332,2018,tt5734576,The Possession of Hannah Grace,The Possession of Hannah Grace,86.0,"Horror,Mystery,Thriller",5.2,11629
816,4145,46,2012-09-07,The Words,6000000,11494838,16369708,2.7282846666666667,2012,tt1840417,The Words,The Words,102.0,"Drama,Mystery,Romance",7.1,70308
817,4146,47,2016-01-15,The Lady in the Van,6000000,10021175,42320503,7.053417166666668,2016,tt3722070,The Lady in the Van,The Lady in the Van,104.0,"Biography,Comedy,Drama",6.7,23105
818,4147,48,2012-04-27,Bernie,6000000,9204489,10106975,1.6844958333333333,2012,tt1704573,Bernie,Bernie,99.0,"Biography,Comedy,Crime",6.8,53765
819,4152,53,2012-03-16,Casa de mi Padre,6000000,5909483,8446952,1.4078253333333333,2012,tt1702425,Casa de mi Padre,Casa de mi Padre,84.0,"Comedy,Western",5.5,19170
820,4153,54,2011-07-29,The Guard,6000000,5359774,21197454,3.5329089999999996,2011,tt1540133,The Guard,The Guard,96.0,"Comedy,Crime,Thriller",7.3,75183
821,4160,61,2014-07-18,Wish I Was Here,6000000,3591299,6591365,1.0985608333333334,2014,tt2870708,Wish I Was Here,Wish I Was Here,106.0,"Comedy,Drama",6.7,34907
822,4169,70,2011-07-15,Snow Flower and the Secret Fan,6000000,1348205,11348205,1.8913674999999999,2011,tt1541995,Snow Flower and the Secret Fan,Snow Flower and the Secret Fan,104.0,"Drama,History",6.1,3429
823,4211,12,2012-12-07,Khiladi 786,5600000,385422,14683763,2.6221005357142864,2012,tt2166214,Khiladi 786,Khiladi 786,141.0,"Action,Comedy",4.4,5648
824,4217,18,2013-09-27,Don Jon,5500000,24477704,41268579,7.503378,2013,tt2229499,Don Jon,Don Jon,90.0,"Comedy,Drama,Romance",6.6,216350
825,4219,20,2018-09-28,Hell Fest,5500000,11107431,18119231,3.2944056363636363,2018,tt1999890,Hell Fest,Hell Fest,89.0,Horror,5.5,8662
826,4228,29,2011-10-21,Le Havre,5500000,611709,13480196,2.450944727272727,2011,tt1508675,Le Havre,Le Havre,93.0,"Comedy,Drama",7.2,18490
