,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year,movie_id,primary_title,original_title,runtime_minutes,genres,averagerating,numvotes,runtime,Horror,month
838,71,2013-04-05,Trance,16000000,2322593,22594052,1.41212825,2013,tt1111235,Trance,Trance,83.0,Horror,4.6,77,under,True,4
840,79,2012-11-02,Vamps,16000000,3361,94812,0.00592575,2012,tt1545106,Vamps,Vamps,92.0,"Comedy,Horror,Romance",5.2,8838,under,True,11
843,2,2017-08-11,Annabelle: Creation,15000000,102092201,305384865,20.358991,2017,tt5140878,Annabelle: Creation,Annabelle: Creation,109.0,"Horror,Mystery,Thriller",6.5,90402,sweet spot,True,8
846,18,2012-02-03,The Woman in Black,15000000,54333290,128955898,8.597059866666667,2012,tt1596365,The Woman in Black,The Woman in Black,95.0,"Drama,Fantasy,Horror",6.4,165357,sweet spot,True,2
849,28,2015-12-04,Krampus,15000000,42725475,61788393,4.1192262,2015,tt3850590,Krampus,Krampus,98.0,"Comedy,Fantasy,Horror",6.2,55400,sweet spot,True,12
869,25,2015-10-30,Scouts Guide to the Zombie Apocalypse,15000000,3703046,15554855,1.0369903333333332,2015,tt1727776,Scouts Guide to the Zombie Apocalypse,Scouts Guide to the Zombie Apocalypse,93.0,"Action,Comedy,Horror",6.3,40479,under,True,10
871,30,2016-09-09,The Disappointments Room,15000000,2423467,3503761,0.23358406666666667,2016,tt2364897,The Disappointments Room,The Disappointments Room,85.0,"Drama,Horror,Thriller",3.9,8167,under,True,9
883,81,2012-08-31,The Possession,14000000,49130588,82925064,5.9232188571428575,2012,tt0431021,The Possession,The Possession,92.0,"Horror,Mystery,Thriller",5.9,53649,under,True,8
893,42,2014-04-04,Under the Skin,13300000,2614251,7229933,0.543603984962406,2014,tt1441395,Under the Skin,Under the Skin,108.0,"Drama,Horror,Sci-Fi",6.3,113196,sweet spot,True,4
896,49,2018-07-04,The First Purge,13000000,69488745,136617305,10.509023461538462,2018,tt6133466,The First Purge,The First Purge,98.0,"Action,Horror,Sci-Fi",5.1,41741,sweet spot,True,7
898,54,2016-06-24,The Shallows,13000000,55121623,118763442,9.135649384615384,2016,tt4052882,The Shallows,The Shallows,86.0,"Drama,Horror,Thriller",6.3,106927,under,True,6
