,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year
1453,54,2014-07-18,Sex Tape,40000000,38543473,126069509,3.151737725,2014
1454,55,2011-04-15,Scream 4,40000000,38180928,95989590,2.39973975,2011
1457,58,2011-03-18,Paul,40000000,37412945,101162106,2.52905265,2011
1461,62,2018-01-12,The Commuter,40000000,36343858,101985431,2.549635775,2018
1483,84,2017-01-27,Resident Evil: The Final Chapter,40000000,26844692,314101190,7.85252975,2017
1488,89,2011-01-07,Season of the Witch,40000000,24827228,91126600,2.278165,2011
1493,94,2016-08-26,Mechanic: Resurrection,40000000,21218403,109738840,2.743471,2016
1499,100,2012-12-21,The Impossible,40000000,19019882,169590606,4.23976515,2012
1526,27,2014-06-27,Snowpiercer,40000000,4563029,88069880,2.201747,2014
1547,48,2012-10-05,Frankenweenie,39000000,35287788,81150788,2.0807894358974357,2012
1558,59,2017-06-02,Captain Underpants: The First Epic Movie,38000000,73921000,126577874,3.3309966842105263,2017
1559,60,2015-04-17,Paul Blart: Mall Cop 2,38000000,71091594,107650646,2.8329117368421053,2015
1561,62,2016-12-23,Why Him?,38000000,60323786,117425156,3.0901356842105265,2016
1562,63,2011-04-22,Water for Elephants,38000000,58709717,116809717,3.0739399210526317,2011
1565,66,2013-09-06,Riddick,38000000,42025135,94763758,2.493783105263158,2013
1568,69,2016-01-22,The 5th Wave,38000000,34912982,111336398,2.9299052105263157,2016
1570,71,2013-09-20,Rush,38000000,26947624,98230839,2.5850220789473686,2013
1584,85,2019-01-11,The Upside,37500000,108235497,119024536,3.1739876266666665,2019
1585,86,2012-05-18,What to Expect When You're Expecting,37500000,41152203,88473016,2.3592804266666665,2012
1589,90,2013-08-07,We're the Millers,37000000,150394119,267816276,7.23827772972973,2013
1590,91,2015-11-25,Creed,37000000,109767581,173567581,4.691015702702702,2015
1592,93,2011-09-23,Dolphin Tale,37000000,72286779,96068724,2.596452,2011
1593,94,2018-02-23,Game Night,37000000,69179066,117378084,3.1723806486486485,2018
1597,98,2016-02-12,How to be Single,37000000,46843513,100003780,2.702804864864865,2016
1599,100,2011-01-28,The Rite,37000000,33047633,97143987,2.625513162162162,2011
1604,5,2018-10-05,A Star is Born,36000000,215288866,433449571,12.040265861111111,2018
1605,6,2011-02-11,Gnomeo and Juliet,36000000,99967670,193737977,5.381610472222222,2011
1612,13,2016-12-16,Collateral Beauty,36000000,31016021,85309093,2.369697027777778,2016
1619,20,2016-01-22,Yip Man 3,36000000,2679437,157300954,4.369470944444444,2016
1623,24,2017-09-08,It,35000000,327481748,697457969,19.927370542857144,2017
1631,32,2013-02-08,Identity Thief,35000000,134506920,175361578,5.0103308,2013
1633,34,2011-07-08,Horrible Bosses,35000000,117538559,212417601,6.069074314285714,2011
1635,36,2015-07-17,Trainwreck,35000000,110212700,141123897,4.032111342857143,2015
1636,37,2013-12-13,Saving Mr. Banks,35000000,83299761,114962525,3.2846435714285716,2013
1644,45,2012-12-21,This is 40,35000000,67544505,90221182,2.5777480571428573,2012
1654,55,2011-07-22,Friends with Benefits,35000000,55802754,146595891,4.188454028571429,2011
1655,56,2016-05-20,Neighbors 2: Sorority Rising,35000000,55340730,108757621,3.1073606,2016
1658,59,2018-06-29,Sicario: Day of the Soldado,35000000,50065850,75885196,2.1681484571428573,2018
1661,62,2015-05-22,Poltergeist,35000000,47425125,95713069,2.7346591142857144,2015
1662,63,2018-10-12,Goosebumps 2: Haunted Halloween,35000000,46697321,93291478,2.6654708,2018
1663,64,2018-01-19,12 Strong,35000000,45819713,71118378,2.031953657142857,2018
1673,74,2011-10-28,In Time,35000000,37553932,165103952,4.717255771428571,2011
1675,76,2011-11-09,J. Edgar,35000000,37306030,84606030,2.417315142857143,2011
1680,81,2017-10-13,The Foreigner,35000000,34393507,140783360,4.022381714285714,2017
1690,91,2017-01-06,Underworld: Blood Wars,35000000,30353973,81209222,2.320263485714286,2017
1695,96,2011-09-23,Abduction,35000000,28087155,86648359,2.4756674,2011
1702,3,2016-09-16,Bridget Jonesâs Baby,35000000,24139805,205822688,5.880648228571428,2016
1707,8,2015-08-21,Hitman: Agent 47,35000000,22467450,82182803,2.348080085714286,2015
