,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year
5063,64,2016-10-21,Moonlight,1500000,27854931,65245512,43.497008,2016
5069,70,2018-03-23,Unsane,1500000,7690044,14244931,9.496620666666667,2018
5076,77,2013-07-26,The To Do List,1500000,3491669,4128828,2.752552,2013
5119,20,2018-11-30,Werk ohne Autor,1400000,1303747,4331152,3.09368,2018
5120,21,2015-11-20,Mustang,1400000,845464,5552584,3.9661314285714284,2015
5150,51,2014-10-17,Dear White People,1250000,4404154,5403771,4.3230168,2014
5151,52,2013-04-19,Filly Brown,1250000,2850357,2940411,2.3523288,2013
5165,66,2013-04-19,Home Run,1200000,2859955,2859955,2.3832958333333334,2013
5172,73,2015-08-28,Que Horas Ela Volta?,1200000,376976,3249041,2.7075341666666666,2015
5189,90,2014-03-21,Godâs Not Dead,1150000,60755732,63777092,55.45834086956522,2014
5195,96,2012-03-23,Serbuan maut,1100000,4105123,9297407,8.452188181818181,2012
5211,12,2012-01-06,The Devil Inside,1000000,53262945,101759490,101.75949,2012
5213,14,2015-04-17,Unfriended,1000000,32789645,64364198,64.364198,2015
5216,17,2013-08-23,You're Next,1000000,18494006,26887177,26.887177,2013
5217,18,2012-05-25,Chernobyl Diaries,1000000,18119640,42411721,42.411721,2012
5221,22,2016-03-11,Hello My Name is Doris,1000000,14444999,14662703,14.662703,2016
5228,29,2018-07-20,Unfriended: Dark Web,1000000,8866745,16434588,16.434588,2018
5230,31,2015-09-25,The Green Inferno,1000000,7192291,12931420,12.93142,2015
5231,32,2017-02-03,I Am Not Your Negro,1000000,7123919,9617402,9.617402,2017
5232,33,2012-10-19,The Sessions,1000000,6002451,11495204,11.495204,2012
5234,35,2012-03-23,October Baby,1000000,5355847,5391992,5.391992,2012
5235,36,2014-09-12,The Skeleton Twins,1000000,5284309,5797192,5.797192,2014
5236,37,2013-06-14,20 Feet From Stardom,1000000,4946250,5892466,5.892466,2013
5238,39,2017-07-28,An Inconvenient Sequel,1000000,3496795,5839322,5.839322,2017
5240,41,2014-06-06,Obvious Child,1000000,3122616,3324070,3.32407,2014
5241,42,2011-10-21,Martha Marcy May Marlene,1000000,2981038,5438911,5.438911,2011
5253,54,2017-10-06,Visages villages,1000000,952432,4015686,4.015686,2017
5334,35,2017-05-12,Lowriders,916000,6179955,6188421,6.755918122270742,2017
5337,38,2013-07-12,Fruitvale Station,900000,16098998,17549645,19.499605555555554,2013
5338,39,2016-04-01,Meet the Blacks,900000,9097072,9097072,10.107857777777777,2016
5353,54,2012-08-03,Celeste and Jesse Forever,840000,3103407,3787689,4.5091535714285715,2012
5358,59,2011-12-30,Jodaeiye Nader az Simin,800000,7098492,24426169,30.53271125,2011
5374,75,2011-09-09,Kevin Hart: Laugh at My Pain,750000,7706436,7712436,10.283248,2011
5376,77,2012-06-08,Safety Not Guaranteed,750000,4010957,4422318,5.896424,2012
5382,83,2013-10-11,All the Boys Love Mandy Lane,750000,0,1960521,2.614028,2013
5438,39,2011-07-08,Sholem Aleichem: Laughing in the Darkness,500000,1131261,1131261,2.262522,2011
5468,69,2013-01-08,Now is Good,500000,0,2141436,4.282872,2013
5558,59,2014-10-31,All You Need Is Love,300000,0,3565259,11.884196666666666,2014
5567,68,2012-08-17,Compliance,270000,319285,830700,3.0766666666666667,2012
5571,72,2017-04-28,Sleight,250000,3930990,3934450,15.7378,2017
5573,74,2011-10-28,Like Crazy,250000,3395391,3728400,14.9136,2011
5609,10,2012-07-20,Burn,225000,1109276,1109276,4.930115555555555,2012
5617,18,2011-02-25,The Grace Card,200000,2430735,2430735,12.153675,2011
5620,21,2015-06-19,The Overnight,200000,1109808,1165996,5.82998,2015
5642,43,2011-09-23,Weekend,190000,484592,1577585,8.303078947368421,2011
5647,48,2011-07-22,Another Earth,175000,1321194,2102779,12.01588,2011
5667,68,2012-04-27,Sound of My Voice,135000,408015,429448,3.181096296296296,2012
5672,73,2012-06-15,Your Sister's Sister,120000,1597486,3090593,25.754941666666667,2012
5679,80,2015-07-10,The Gallows,100000,22764410,41656474,416.56474,2015
5685,86,2017-07-07,A Ghost Story,100000,1594798,2769782,27.69782,2017
5737,38,2016-03-18,Krisha,30000,144822,144822,4.8274,2016
5748,49,2015-09-01,Exeter,25000,0,489792,19.59168,2015
